,network_source,tweet,date,compound_score,pos_score,neu_score,neg_score
0,BBC News (World),"RT @BBCSport: The draw has been made for the Champions League group stages.

Full details: https://t.co/QBp1aNLZgR https://t.co/FOUTB1IYU0",Thu Aug 30 17:23:46 +0000 2018,0.5267,0.175,0.825,0.0
1,BBC News (World),"RT @BBCSport: You know how Roma wanted to avoid Real Madrid?

Naturally, they've been drawn into the same group as them.

#UCLDraw LIVE 👉 h…",Thu Aug 30 16:45:56 +0000 2018,-0.296,0.0,0.913,0.087
2,BBC News (World),"RT @BBCSport: It's almost time for the #UCLDraw 🙌

32 teams - including four from England - await their European opponents.

LIVE 👉 https:/…",Thu Aug 30 16:18:06 +0000 2018,0.1027,0.069,0.931,0.0
3,BBC News (World),"RT @BBC_HaveYourSay: The Pakistan PM has been making his nine-mile journey to work by helicopter. But how much does it cost?

https://t.co/…",Thu Aug 30 15:52:58 +0000 2018,0.0,0.0,1.0,0.0
4,BBC News (World),Carl Bernstein: Trump attacks 'degenerate' Watergate reporter https://t.co/EtJ7d3fSMr,Thu Aug 30 15:01:39 +0000 2018,-0.4404,0.0,0.707,0.293
5,BBC News (World),South Africa violence targets Soweto's foreign-owned shops https://t.co/IcI4Ual33A,Thu Aug 30 14:12:04 +0000 2018,-0.6249,0.0,0.631,0.369
6,BBC News (World),"Burst dam floods 85 villages in central Myanmar

https://t.co/M2dawdLAN6 https://t.co/nPjbRGyv0y",Thu Aug 30 13:59:27 +0000 2018,0.0,0.0,1.0,0.0
7,BBC News (World),China officials 'faked water tests with bottled water' https://t.co/8123JNtxRT,Thu Aug 30 13:36:44 +0000 2018,0.0,0.0,1.0,0.0
8,BBC News (World),Why confidence in Argentina's economy is dwindling https://t.co/FStHUqzn0q,Thu Aug 30 13:09:08 +0000 2018,0.5106,0.32,0.68,0.0
9,BBC News (World),"Mystery woman, caught on surveillance camera wearing what looked like broken wrist restraints, found safe https://t.co/yErqwp2SDE",Thu Aug 30 12:47:02 +0000 2018,0.3182,0.251,0.605,0.144
10,BBC News (World),Google disputes Trump's claim that it didn't promote his State of the Union address https://t.co/oeK6UnGldd,Thu Aug 30 12:43:22 +0000 2018,-0.508,0.0,0.752,0.248
11,BBC News (World),Calls to name Nato headquarters after US Senator John McCain https://t.co/8hyR38sh3x,Thu Aug 30 12:27:02 +0000 2018,0.0,0.0,1.0,0.0
12,BBC News (World),Dutroux murders: Belgian child-killer's letter angers parents https://t.co/2wMsf3gPhQ,Thu Aug 30 12:22:48 +0000 2018,-0.8074,0.0,0.451,0.549
13,BBC News (World),Roy Oliver: Ex-police officer jailed for Jordan Edwards shooting https://t.co/HKMr0z6552,Thu Aug 30 12:19:55 +0000 2018,-0.4939,0.0,0.738,0.262
14,BBC News (World),😲 https://t.co/4Y2uJNEHMN,Thu Aug 30 11:50:22 +0000 2018,0.0,0.0,1.0,0.0
15,BBC News (World),"RT @BBCAfrica: “What is wrong about sex anyway?”

Although she comes from a traditional family in rural Kenya, 21 year-old Jane speaks free…",Thu Aug 30 10:58:15 +0000 2018,-0.4767,0.0,0.871,0.129
16,BBC News (World),"Macron: French 'Gauls' resistant to change, unlike 'Lutheran' Danes https://t.co/mHKoM42wzc",Thu Aug 30 10:57:38 +0000 2018,0.0,0.0,1.0,0.0
17,BBC News (World),"RT @BBCNews: Prince Harry sings King George's line at charity performance of Hamilton 🎤 

https://t.co/57XQEYUUQb https://t.co/eZneRJvfr6",Thu Aug 30 10:51:36 +0000 2018,0.4215,0.167,0.833,0.0
18,BBC News (World),"RT @BBCMonitoring: Profiles of key militia groups operating in Libya's capital.
https://t.co/BrERFQ9Fye",Thu Aug 30 10:49:14 +0000 2018,0.0,0.0,1.0,0.0
19,BBC News (World),"RT @BBCNews: Chequers deal ""delivers on the #Brexit vote"" and is ""good for UK and EU"", Theresa May says while on a trip to Kenya

https://t…",Thu Aug 30 10:37:25 +0000 2018,0.4404,0.108,0.892,0.0
20,CBS News,"""I'm black, he was white. I'm young, he wasn't so young,"" but Arizona Cardinals star Larry Fitzgerald said his unli… https://t.co/HRmNGwnhWo",Thu Aug 30 17:48:18 +0000 2018,0.0,0.0,1.0,0.0
21,CBS News,"""To me, John really did reflect our country in its true form,"" says Tommy Espinoza, friend of John McCain.… https://t.co/x00Lr8K09c",Thu Aug 30 17:40:26 +0000 2018,0.7184,0.25,0.75,0.0
22,CBS News,"Grant Woods, former AZ Attorney General, talks about his first two hours as John McCain's chief of staff: ""It was o… https://t.co/p19EjDe1Jr",Thu Aug 30 17:22:28 +0000 2018,0.3612,0.106,0.894,0.0
23,CBS News,"This apple has fallen far from the tree — Red Delicious is no longer America's most popular choice, as another kind… https://t.co/k05Gx7i4US",Thu Aug 30 17:09:42 +0000 2018,0.4754,0.238,0.597,0.165
24,CBS News,SPECIAL REPORT: McCain memorial service begins with the senator's longtime friend Joe Biden set to deliver eulogy… https://t.co/EAXYsblUIF,Thu Aug 30 17:04:20 +0000 2018,0.7672,0.293,0.707,0.0
25,CBS News,WATCH: Pallbearers carry Senator John McCain's casket into Phoenix church for memorial service… https://t.co/NzE2sP2x7a,Thu Aug 30 16:59:48 +0000 2018,0.0,0.0,1.0,0.0
26,CBS News,WATCH: Motorcade arrives at Senator John McCain's memorial service at North Phoenix Baptist Church… https://t.co/4vQijxhbFc,Thu Aug 30 16:49:58 +0000 2018,0.0,0.0,1.0,0.0
27,CBS News,Man charged with making death threats to Boston Globe over series of newspaper editorials condemning President Trum… https://t.co/FfR3Bqigbz,Thu Aug 30 16:34:52 +0000 2018,-0.8176,0.0,0.638,0.362
28,CBS News,"WATCH LIVE: Family, friends and political leaders are set to remember Senator John McCain at his Arizona memorial s… https://t.co/Ra00OUBnGI",Thu Aug 30 16:27:38 +0000 2018,0.4767,0.14,0.86,0.0
29,CBS News,"President Trump insists White House is a ""smooth running machine"" in wake of Don McGahn ouster… https://t.co/GYJM6aAkJH",Thu Aug 30 16:20:34 +0000 2018,0.0,0.0,1.0,0.0
30,CBS News,China says it won't be pressured by the U.S. to move faster on economic reform https://t.co/gNxI8tHyjh https://t.co/fjr95JrO32,Thu Aug 30 16:05:17 +0000 2018,0.1695,0.094,0.906,0.0
31,CBS News,"American Academy of Pediatrics drops kids' age limit for rear-facing car seats, urging parents to keep them there u… https://t.co/oonmGzJ4Ty",Thu Aug 30 15:50:15 +0000 2018,0.0,0.0,1.0,0.0
32,CBS News,"Florida sheriff warns ""hotheads"" after ""stand your ground"" shooting involving Uber driver: https://t.co/dRkJbJWq8Q https://t.co/NID0KzdWOj",Thu Aug 30 15:35:09 +0000 2018,-0.1027,0.0,0.903,0.097
33,CBS News,Russia military boosts naval presence in Mediterranean as U.S. and Vladimir Putin trade warnings Syria offensive… https://t.co/9AC3MaIhy9,Thu Aug 30 15:00:45 +0000 2018,0.0258,0.118,0.769,0.113
34,CBS News,South Carolina Senator @LindseyGrahamSC offers a rare emotional reflection on the death of his friend John McCain:… https://t.co/A2z4t9nLOG,Thu Aug 30 14:40:20 +0000 2018,-0.0258,0.211,0.617,0.172
35,CBS News,"Jailed NSA leaker Reality Winner says she ""can't thank [President Trump] enough"" for his tweet calling her sentence… https://t.co/EvltVGtFSb",Thu Aug 30 14:25:20 +0000 2018,-0.1306,0.151,0.637,0.211
36,CBS News,"A ""minute pressure leak"" has been detected aboard the International Space Station: https://t.co/fL0UUXzzMo https://t.co/VDP8dVfDao",Thu Aug 30 14:09:31 +0000 2018,-0.5423,0.07,0.637,0.293
37,CBS News,"HAMILTON AND HARRY: While attending a performance of ""Hamilton,"" Prince Harry, who is King George III's great-great… https://t.co/Et86n4RpiE",Thu Aug 30 13:50:09 +0000 2018,0.0,0.0,1.0,0.0
38,CBS News,A Texas Republican Party tweet recalling Democratic Senate hopeful Beto O'Rourke's past arrests has triggered a par… https://t.co/xybtolMfoD,Thu Aug 30 13:29:46 +0000 2018,0.4767,0.274,0.594,0.132
